a,n,s,w,e,r,s
0,来写一个我好朋友的。我有一个从小一起长大的小哥，90年的，体制内工作，在北京有两套房（一套自购200平大平层，一套单位授予居住的。）他老爸和我老爸关系贼好，我元旦的时候在他家吃饭，吃完顺带载他去相亲，对方是91年的。人给送到以后发现小姑娘带了一个闺蜜，然后闺蜜说有事要走，让给我打电话回去的时候把小姑娘送一下。小哥人抹不开面子，就让我给送一下，这一送可好，把我真的当司机了。上车以后，问了一下家在哪，好家伙在***（我们当时在我们市中心，距离差不多30多公里）。我：那这一时半会儿可能到不了。闺蜜：没事，我就是想看看他是啥车。我：。。。所以你看出来我这啥车了么？闺蜜：丰田嘛，屌丝日系车。。我这会儿已经开始心疼我的油钱了，我这一公里将近2块的油耗，合着费力费钱好不讨好。但是为了我小哥的相亲大业我还是忍了，回头找他报销油钱。开到一半闺蜜电话响了，我一开始没注意，听着听着才听出来是相亲对象。下面是吐槽内容：“他没有车，以后我上班还得天天打车才行，多不方便啊”“他房子有一套是单位的，说白就有一套郊区的，给你住你住吗？”“他没啥存款，月收入也不高，我消费这么高，他养不起的”“他工作一周有4天必须住单位提供的房子，我可不想住那里”闺蜜：“这不是挺好，你住外面，你想干啥干啥”“他是军人，我害怕被判刑。。。”还有好多内容，关于吐槽我小哥的各种，给我听得气的。然后闺蜜说了句“这种屌丝我觉得你就别在他身上浪费时间了，我就觉得xxx挺好的，人也大方，人家开的可是宝马巴拉巴拉。”正好这时候我下了三环，直接给人停路边了。“请下车吧”“这才到哪啊”“刚下三环吧”“你这人怎么这样啊”“我认识你吗？我有什么义务送你？”“你怎么一点大男子主义都没有，吐槽你们两句就这样”闺蜜下车以后小哥来电“咋样”“黄了”“晚上去喝一杯？”“好，你在哪。”后来我喝酒的时候给小哥讲了我把闺蜜直接扔下的故事，小哥果然心情大好，还把酒钱结了，这波不亏。
1,10年初连续约了四个妹子见面相亲头一个俩人见面聊得火热，但是她要回老家宁夏发展，我肯定没法跟过去，于是好聚好散，后来人家回去发展的风生水起，嫁的老公温文尔雅，着实一对璧人。第二个打算约出来打电话，是个男生接的，开口就道歉，说他是前男友，昨天刚复合。我说祝你俩幸福，女生后来也在电话里再三道歉，我说没事儿没事儿，你俩幸福就好。后来QQ里看到没多久就成婚要娃，和睦甜蜜。第三个打电话约了三次，前两次说很忙，第三次我说那我去单位找你一起吃个便饭，对方表示身为党政机关工作人员，还是要注意一下言行举止，我这种行为对她在单位的发展会有很不好的影响。我回头问了问媒人，媒人都愣了，说她一社区街道无编制小办事员，咋谱儿那么大？第四个是我媳妇，俩人一见如故，很快就如胶似漆不离不弃了，十一月领证十二月办婚礼，婚礼前一天下午接到第三位电话，说今晚有空要不要出来坐坐？我说我明天婚礼你能来不？不用随份子。对方沉默几秒后一句话差点儿没把我噎死：我这样的国家干部你错过了就再也碰不到了，我很认真的建议你今晚出来好好聊一聊……
2,"已经分手五一期间放假回家，经人介绍认识了她，我26她29，而且同在北京工作。当天上午去她家里见了一面，互相感觉都很不错，于是下午约了出来玩。约会过程也很不错，她挺热情，让受够了相亲女冷脸的我受宠若惊，大有相见恨晚之势，当天我们就牵手了。截止到现在一切都在向着好的方向发展，可当天晚上吃饭的时候我感觉不对劲了，她突然不说话了，一句话也不说，跟她说话，她也只是点头或者笑笑，很敷衍的笑，跟之前判若两人。我感觉很奇怪，开始回想自己是不是有什么地方做错了，惹她不高兴，可想来想去也想不到。吃完饭出门的时候她终于开口了，问我：”你没有觉得我很不高兴吗？&#34;我说有啊，怎么突然不高兴了？她说：”刚才进来的时候你怎么不拉我手了呢？”她这样一问，我愣住了，一时间不知道说什么好，但是看着她生气的表情，我只好拉住她手，连说我忘记了。其实我心里想的是，拉手难道要24小时拉着吗，总有松开的时候，你想拉手直接拉不就行了吗，何必为这个生气呢？在以后的接触中，发现她很喜欢这样“突然反问”，她想让我买饮料，不会说你去买瓶饮料吧，而是：“你怎么不去买饮料呢？“在家呆了两天，中间买了礼物去她家，她父母对我也是比较满意的，甚至还谈到我们以后在北京什么地方租房的问题。两天后我回北京上班，又过两天，她假期结束了也要回北京，于是我请了假，去车站接她接她的时候发生的事算是个伏笔吧，也许从这里就注定了无法在一起。那天我提前半小时就到了北京西站，车站很大而且有很多出口，于是我在车站里一个很显眼的大雕塑旁边等她，告诉了她位置，省得找不到。过了十几分钟她还没来，我跟她视频，想看看她到哪里了，一开视频，又是那种满脸不开心的表情，我心里一沉，心想我又哪里做错了？她也没说别的，只是面无表情的告诉我她在哪儿，让我去找她。于是我就过去，看到她拎着行李箱，就伸手帮她拎，她一动不动，也不撒手，就这么站着。我说怎么了，她说：不开心。我有点莫名其妙，问怎么不开心了，她说：别人都是到站里面去接，你怎么在这里接？我更糊涂了，咱们这不是在站里吗？她说：不是！我一下车怎么没看见你？别人都是到那儿去接！我说你下了车是高铁站，我怎么过去呢？你下车后不正好过来，咱们坐地铁回去吗？她不说话了，还是满脸不高兴的表情，我也没再说什么，等地铁来了接过她的行李上了地铁。按照我每次坐车到西站的经验，下了车就直接坐地铁，都在站里不用出站的，所以我在这里接她没有问题啊，我还特意提前过来的。也许接她的地方跟她想的不一样，可难道就为这种事情生气吗？曾以为见面后能开开心心的，没想到又是一张臭脸。上了地铁她还是在生气，我也心里郁闷没说话，出了地铁，她自顾自的往前走，我拎着她的行李箱跟在后面，走到马路上她突然站住了，回头质问我：你就这样不说话吗？我生气你也不会哄的吗？听她这样说，我就说那你为什么生气呢，她又开始跟我掰扯应该到哪个地方接她最好，眼看她越说越气，我知道再纠结下去没有意义，我说今天是我疏忽了，我没经验，以后一定到最近的地方接你，于是这件事情以我道歉结束。这事算是个开端，以后的接触里慢慢发现，她经常为一些莫名其妙的事情生气，甚至很多事情其实根本不算事，也会生气，而且一定要我道歉才会好，只是哄还不行，我得承认错误才可以，尽管我并没有错，以至于只要看到她那张脸耷拉下来，我就知道事儿又来了。那天晚上在吃火锅串，本来吃的挺开心的，这时候服务员拿着壶过来，站到我们俩中间给火锅加汤。等服务员走后，她突然大吼一声：”拿呀！“我一愣，这才发现她手里拿着串，准备递给我，但是刚才我被服务员挡住了视线，没有接，所以她又生气了。看到她阴沉的脸，我突然感觉格外的头痛，这叫什么事儿呢，我实在无法理解她因为这种事情都能生气。且不说我被服务员挡住了没有看到，就算是看到了，没有第一时间接过她手里的串，她就要这样发作吗？最后又是以我道歉而结束。现在想想,我谈恋爱时的心态是很有问题的,总觉得男人应该无限迁就和包容女人,但其实互相尊重是一段感情能走下去所不可缺少的。还有令人无法忍受的一点是,她喜欢阴阳怪气的突然指责与打压别人.那天下班后很累就直接睡觉了,晚上睡醒了和她打电话,我说我刚睡醒,她突然说了句:&#34;就感觉你一点都不上进.&#34;,我愣了半天,扪心自问,我工作很努力,平时没有什么不良爱好,努力攒钱,最大的开销就是和她约会吃饭什么的.怎么睡个觉到她嘴里就成了不上进了呢。但我并没有反驳她,反驳只会陷入跟她无休止的辩论.我从小到大都属于公认的老实人,尤其在恋爱上,总觉得男人要多付出一点,对女人要包容,从来不会说她任何不好,可换来的却是变本加厉。和她在一起的时候,她很喜欢用&#34;就&#34;开头的说话方式,让我印象比较深刻的包括:&#34;就感觉你一点都不上进&#34;&#34;就你都不懂幽默,总是不会逗得我哈哈大笑&#34;&#34;就你都不跟我说一些生活里的注意事项什么的,别人都会&#34;&#34;就有时候感觉我生气了,可是你并没有很着急来哄&#34;&#34;就感觉你什么都不会,歌也唱不好&#34;一度让我怀疑人生,怀疑自己到底是有多差劲,每次和她在一起如履薄冰,总不知道什么时候又会招来她的指责和批评.那天她问我：“假如我跟你妈意见不一样了，你会支持谁呢？”我说谁的意见对我就支持谁。直到现在我也觉得这样回答没什么问题，但是她听完明显不高兴了,过了一会儿，面无表情的开始给我讲她闺蜜的事，说她闺蜜老公如何宠她，每次婆媳有矛盾的时候都无条件支持她。我当时心里什么感觉呢，就是那种上学时候被老师叫到办公室，让你“好好想想吧”的感觉，有点恶心。之后我基本放弃这段感情，好几天没有联系她，后来她说路过我这里，过来找我，说：“咱们可能不太合适，要不然分开吧。”我说好啊，这样对双方都好。她愣了一下，可能没想到我答应的这么痛快，抱着我说：“你怎么不求我再给你次机会呢？”听着这熟悉的反问句，我说呵呵"
3,我以为是梗，原来真的发生了。我弟弟的同学，也就一个村的，有一次相亲，估计是女方看对眼了，第一次见面聊了几句那女的就把自己的父母和几个女亲戚叫了出来，直接聊到了结婚相关的事宜，车房彩礼什么的估计说的稍微有点高，我弟弟的同学性格又有点虎，带点逗比青年性质，他直接来了句你是处女吗？我靠，差点当场打起来。
4,只记得看过一个网友写的：相亲那天，女方喊来七大姑八大姨，几十号人一起来白吃白喝，还总挑最贵的点。于是他偷偷到了前台，再点两条中华烟，带走；关机！一天后，电话开机，几百个未接电话。网友问：是不是女方看上我了？
5,,https://pica.zhimg.com/50/v2-f72bccfce12be18f19735877859292d5_720w.jpg?source=1940ef5c
6,我碰到过一个，都不能说是作了，简直是吓人。当时我24，单身，小领导（女，35+）给我介绍了一个女生，是她堂妹的同事。两边说了一下基本情况，我觉得可以见面聊聊，女方也表示愿意认识一下。刚好小领导和堂妹周末要约饭，说到时候把我和女方都叫上，不算正式相亲，只是认识一下，成不成看缘分，也免得尴尬。饭局约在周六晚上6：00，我特意穿了新衬衫。刚要出门，小领导来电话了，说女方临时有事来不了。我说那就算了，我也不好去打扰你们姐妹相聚，改天再约吧。第二天，小领导向她堂妹要了女方的微信给我，叫我们自己聊。女方朋友圈里没有照片，我的朋友圈里全是工作相关，也没有照片。但是她没有叫我发照片，我就没有贸然给她发，考虑很快要见面，也没有贸然向她要照片。聊了几天感觉还可以，说话什么的都挺正常，就约她周末一起吃饭。约了个周六晚上，餐厅是她选的。没想到，周六中午，女方告诉我晚上要加班，不能来了。没关系，谁都有个急事儿不是，我理解。又聊了几天，继续约见面，她说想吃鱼，我推荐了一个自己吃过还不错的餐厅，约在周日中午。没想到，人家又又在周日上午告诉我家里有事，要陪亲戚看病，不能来了。连续被鸽两次，我觉得女方可能不想见我，就跟小领导说，女方怕是看不上我，不然算了吧。小领导说：不会啊，我问过堂妹了，女方说跟你聊的很好。第二天，女方突然开始积极地找我聊天，说前面几次确实是不巧，并没有看不上我的意思，她还是很愿意跟我继续接触的。于是继续约见面，这次约在周六下午5：30，还是上次那家吃鱼的餐厅。我隐隐有些不详的预感，结果，下午4：00左右，女方又又又告诉我，她扭伤了脚，不能出门。我心里已经凉了，礼貌地表示了关心，然后就在家呆着。我本想直接把女方删掉，但想想还是要跟小领导当面说清楚，免得给大家造成误会。然后诡异的事情来了！晚上11：00多，我准备休息了，女方突然发微信：你是不是在XX广场，我看到你了！我：我在家，你看错了吧？女方：不，我真的看到你了，你穿XX色的衣服，很高，戴眼镜！我：别吓我，我真的在家啊，你知道我长什么样吗？女方：没看清，但我感觉就是你！然后女方发来一张照片，上面是一个陌生男子的背影，根本就不是我！当时我没反应过来，我以为小领导把我的照片给过女方，女方认错人了。我生气的是女方说扭伤了脚不能出门，怎么又在XX广场？拿我寻开心呢？当下也顾不得大半夜的打扰小领导了，截图给她发过去。小领导也懵圈了，问我：你给女方发过照片吗？我：啥.....我以为你给她发过小领导：我没有，我连她微信都没加我一个人在家，冷汗流了满背。小领导缓缓打出一行字：这女的是不是精神有点问题？后来小领导把这事告诉了她堂妹，她堂妹说女方并没有扭伤脚，而且周一上班的时候女方跟其他同事说当晚去XX广场看了灯光秀。小领导的堂妹也很生气，女方一直叫她介绍对象，之前给介绍过两个，都是见面后女方各种挑刺，说她没有理解自己的要求。没想到在我这里闹出了更大的乌龙。她表示以后再也不会管女方了，也没有问女方到底为什么要这样对待我。可能是老天爷为了补偿我，一个月后，我遇到了心仪的对象并且成功脱单，现在娃都4岁了。之后还从小领导那里听说了女方的一点八卦（小领导也很八卦），发现女方真的是个神人，有空再补上。后来我才知道，小领导的堂妹是某国企工会的干事，帮助单身职工解决婚姻大事是她的工作内容之一。他们单位经常跟别的单位之间组织相亲会，也会参加ZF部门或者社会组织的联谊会，这些都是她负责。但是女方之前从来不参加联谊会，而是到处托人介绍。在我这边闹出乌龙之后，她就跟女方说以后参加联谊会吧，不会再帮你介绍了。然后女方报名了团S委组织的联谊会，因为要统一做报名资料，小领导的堂妹调取了女方的入职文件，发现女方对外说的年龄比实际年龄小3岁。问女方，女方承认了，但是要求她把报名表上的年龄也写小3岁。差点给她气晕过去，私下相亲隐瞒年龄已经很过分，正规的相亲会也敢作假，真是不知道脑子里在想什么。当时她就把憋了好久的问题说出口，问女方之前为什么要跟我说那种莫名其妙的话。女方答“我以为这样能给男方留下深刻的印象”。据小领导说听她堂妹吐槽这一段的时候，笑的喷了堂妹一脸咖啡。这还没完。联谊会有一个环节是很多人坐在一个大桌上，根据主持人抽取的问题来聊天。聊着聊着，女方突然说“我想纹身”，主持人问她想纹什么，她说“我想纹个守宫砂”，主持人没听清，又问了一遍，女方很大声地说“守宫砂，就是可以证明我是CN的东西！”在场的人全傻了，主持人一秒变哑巴。小领导的堂妹完全处于懵逼状态，都不记得这个环节是怎么结束的了。联谊会就是制造机会给这些单身男女们认识，有意的可以在现场互留联系方式，不想给的也可以不给，这些都是提前告知过的。整个会上没有人相中女方，女方也表示没有看上任何人。没想到，联谊会结束之后，女方疯狂联系主持人，索要参会的多个男生的微信。主持人不堪其扰，直接联系了他们工会的领导，于是小领导的堂妹挨了一顿批，被指责没有给职工讲好联谊会的规则。后来这事成了一个梗，传遍了各单位，小领导的堂妹每次出去开会总有外单位的人悄悄问她，你们单位那个CN找到对象没有？本来只想随口吐个槽，没想到被小领导看到了（后来我不在她部门了，我知道她也上知乎所以果断匿了个名，但是女方的事迹太过鲜明，一下子就被她认了出来）。小领导和她堂妹聊起来，得知女方目前还是单身。然后堂妹跟她说了一件事，小领导简单地给我转（ba）述(gua）了一下，越发让我觉得女方脑回路之神奇。下班遛完娃再更。抱歉抱歉，遛完娃被小舅子拉去撸串了，早起更完。这事不是小领导的堂妹亲历的，是同事小A向她吐槽的。小A是后来调到工会的，当时第一次带队去相亲会，其中就有女方。那次是一家婚介机构举办的，属于国企和事业单位的相亲专场。不巧的是当天突降暴雨，到场的人数只有原定的一半。因为人少，活动进行的比较快。女方相中了一个中建X局的男士，男方看起来也对她印象不错。小A心想难道这次能成？谁知道怕什么来什么，活动结束的时候，出幺蛾子了！婚介机构给每个人准备了一份纪念品，事先放在座位上的，是一个手提袋里面装着一对毛巾和一盒茶叶，不值钱的小礼物。因为去的人少，很多纪念品都没有人拿。女方临走的时候挨个把东西拿出来，塞进自己的袋子里。婚介的人看到了礼貌阻止，说您拿一份就可以了，剩下的我们还要收回。女方理直气壮：我很多同事都没来，我替他们拿的！并指着小A说：这是我们工会的，你问她是不是很多人都没来！小A尴尬到无地自容，赶紧打圆场：不用给他们拿，他们说不要。（其实别人不可能拜托女方拿）女方不肯，说报了名的就必须有，必须给人拿回去。婚介的人陪着笑脸给了女方两份纪念品，女方才放下那个鼓鼓囔囔的大袋子。男方围观了整个过程，脸上的表情可谓精彩，没跟女方打招呼就走了。女方回家后发现被男方删除了，遂联系小A，叫小A找婚介的人要男方的联系方式。小A忍不住开喷了：大姐！这是相亲会啊！你这样做真的好吗？好不容易相中一个为什么跑了你自己心里没有AC数吗？女方：你懂什么，男人都喜欢勤俭持家的！他一句话都没有就把我删了，这种没有担当的人配不上我！最后，我只能说一句：姑奶奶，谢谢您当年不见之恩。
7,相亲遇到过一个女老师，在微信聊了一周，打算下班找个时间见见。见面前一天晚上问对方有没有想去或者想玩的地方，对方微信里不说话，我就把行程都安排好，第二天晚上约好到对方学校去接她。下班后，开车到学校门口，因门口接学生的家长车辆太多，就找了个离门口20米的地方停好，微信告诉对方停车位置后等了二十分钟。对方上车后也不说话，车开了一会儿才说对当天的晚饭安排不太满意，我说那你有什么想吃的，对方还是不说话，我提供了几个选项对方都拒绝，好吧第一次见面也不知道你想吃啥，就换了个餐馆吃饭，吃饭期间对方一直在玩手机，聊天有一搭无一搭，吃完饭约对方看电影，看完了电影就开车送她到小区门口了。本以为对方对我不感兴趣，没想到第二天晚上聊天的时候重头戏来了:在微信里先是指责我没有下车亲自到学校门口迎接，再指责我太直男，连她想吃什么都不知道(从来没提起过)，又抱怨吃饭时间太短，说平常假期吃一顿都要三四个小时，又说看完电影没给她送花，一点不懂情调？？？说实话我是服气的，拜拜了您呢，微信删除继续做你的公主梦吧。
8,nga上看了一个女方要求男方在成都五城区结婚后买套房，加名，因为女方自己也有套房，可以加男方。但初次见面没聊兴趣爱好和工作，因为男方说什么都被女方扯回房产，被恶心到了，就没继续。回头和介绍人吐槽，介绍人也纳闷，这是和人过日子还是和房过日子。后来多方八卦知道了详情：女方在之前就这个德行，把前男友恶心坏了，前男友经常休息日被拉去中介，一来二去和一个中介妹子好上了，然后两个人一起忽悠她买了套三道堰的房子，你们可以看一下三道堰在哪。然后就想用这套没啥价值的房子换别人在五城区里的一套房……很乐
9,也不算相亲女，算偷偷介绍撮合，朋友带女友和她闺蜜逛街，临时起意过来我家吃火锅一起吃饭聊天，那个陌生妹纸话很少，只是偶尔跟基友的女友说两句，不认识也不想搭话，她一直打量我家，最后突然说：你房子地段挺好的，但装修的一般般呀。我有点莫名其妙的：咱俩又不熟，你点评我干嘛就不咸不淡的应了两句，后面也没啥聊的重点来了，吃完饭过了两天，妹子托女友找基友跟我说对我观感很好我对基友说没兴趣又过了一周，基友估计被女友烦的没办法了，硬是要我加个微信，而且还必须是我加她加了后，她不说话我不说话过了几天，基友又生无可恋的转话说你干嘛不理别人。。。。然后我就直接拉黑了点题一下，作在哪里呢，明明有想法还想打压我当时不觉得，后来想明白了更觉得作当然，主要是不好看，好看的话我就去舔了
